PCSE/WOFOST OUTPUT FILE FOR: 
crop name: WINTER WHEAT
year: 2000
mode: 'wlp'
--------------------------------------------------------------
SUMMARY RESULTS:
       Day of sowing: N/A
    Day of emergence: 2000-01-01
     Day of anthesis: 2000-03-28
     Day of maturity: 2000-05-31
      Day of harvest: N/A
         Maximum LAI:  6.13
       Total biomass: 15261.8
               Yield:  7179.8
       Harvest Index:   0.470
 Total transpiration:  22.458
--------------------------------------------------------------
TIME-SERIES RESULTS:
       day,       DVS,       LAI,      TAGP,      TWSO,      TWLV,      TWST,      TWRT,       TRA,        RD,        SM,     WWLOW
2000-01-01,     0.000,     0.145,   105.000,     0.000,    68.250,    36.750,   105.000,     0.006,    10.000,     0.250,    19.090
2000-01-02,     0.009,     0.154,   111.890,     0.000,    72.728,    39.161,   111.890,     0.003,    11.200,     0.254,    18.338
2000-01-03,     0.017,     0.164,   119.031,     0.000,    77.370,    41.661,   119.031,     0.003,    12.400,     0.259,    18.322
2000-01-04,     0.024,     0.174,   126.204,     0.000,    82.032,    44.171,   126.204,     0.006,    13.600,     0.263,    18.311
2000-01-05,     0.033,     0.185,   134.276,     0.000,    87.280,    46.997,   134.276,     0.004,    14.800,     0.266,    18.288
2000-01-06,     0.041,     0.197,   142.886,     0.000,    92.876,    50.010,   142.886,     0.008,    16.000,     0.269,    18.275
2000-01-07,     0.050,     0.210,   152.516,     0.000,    99.136,    53.381,   152.516,     0.012,    17.200,     0.271,    18.252
2000-01-08,     0.059,     0.225,   163.147,     0.000,   106.045,    57.101,   163.147,     0.006,    18.400,     0.272,    18.220
2000-01-09,     0.068,     0.240,   174.315,     0.000,   113.305,    61.010,   174.315,     0.004,    19.600,     0.274,    18.205
2000-01-10,     0.076,     0.255,   185.123,     0.000,   120.330,    64.793,   185.123,     0.012,    20.800,     0.276,    18.197
2000-01-11,     0.085,     0.271,   196.682,     0.000,   127.844,    68.839,   196.682,     0.011,    22.000,     0.278,    18.173
2000-01-12,     0.093,     0.287,   208.332,     0.000,   135.416,    72.916,   208.332,     0.014,    23.200,     0.279,    18.151
2000-01-13,     0.102,     0.306,   221.715,     0.000,   144.115,    77.600,   221.715,     0.006,    24.400,     0.280,    18.124
2000-01-14,     0.108,     0.321,   233.195,     0.000,   151.584,    81.612,   233.115,     0.015,    25.600,     0.296,    18.512
2000-01-15,     0.116,     0.338,   245.215,     0.000,   159.430,    85.785,   244.741,     0.012,    26.800,     0.297,    18.503
2000-01-16,     0.124,     0.354,   256.508,     0.000,   166.832,    89.676,   255.315,     0.015,    28.000,     0.297,    18.467
2000-01-17,     0.131,     0.371,   268.697,     0.000,   174.852,    93.845,   266.396,     0.018,    29.200,     0.336,    19.603
2000-01-18,     0.141,     0.396,   286.749,     0.000,   186.772,    99.977,   282.337,     0.014,    30.400,     0.318,    19.050
2000-01-19,     0.150,     0.423,   306.245,     0.000,   199.712,   106.533,   298.869,     0.009,    31.600,     0.316,    19.008
2000-01-20,     0.158,     0.453,   326.958,     0.000,   213.520,   113.437,   315.816,     0.019,    32.800,     0.316,    18.986
2000-01-21,     0.167,     0.485,   349.450,     0.000,   228.578,   120.872,   333.606,     0.022,    34.000,     0.314,    18.947
2000-01-22,     0.176,     0.519,   373.912,     0.000,   245.023,   128.889,   352.303,     0.014,    35.200,     0.313,    18.906
2000-01-23,     0.184,     0.556,   399.326,     0.000,   262.184,   137.142,   371.027,     0.012,    36.400,     0.313,    18.882
2000-01-24,     0.190,     0.587,   421.295,     0.000,   277.078,   144.217,   386.682,     0.015,    37.600,     0.313,    18.862
2000-01-25,     0.196,     0.623,   445.994,     0.000,   293.873,   152.121,   403.854,     0.018,    38.800,     0.312,    18.839
2000-01-26,     0.201,     0.658,   470.040,     0.000,   310.272,   159.768,   420.154,     0.030,    40.000,     0.312,    18.814
2000-01-27,     0.211,     0.704,   501.924,     0.000,   332.075,   169.849,   441.254,     0.035,    41.200,     0.327,    19.430
2000-01-28,     0.221,     0.761,   540.934,     0.000,   358.878,   182.056,   465.835,     0.035,    42.400,     0.318,    19.050
2000-01-29,     0.231,     0.821,   582.328,     0.000,   387.459,   194.869,   490.595,     0.043,    43.600,     0.316,    19.003
2000-01-30,     0.242,     0.890,   628.935,     0.000,   419.795,   209.140,   517.079,     0.071,    44.800,     0.315,    18.948
2000-01-31,     0.252,     0.965,   679.549,     0.000,   455.089,   224.459,   544.288,     0.052,    46.000,     0.313,    18.859
2000-02-01,     0.263,     1.045,   734.012,     0.000,   493.108,   240.903,   571.985,     0.040,    47.200,     0.312,    18.796
2000-02-02,     0.274,     1.129,   791.198,     0.000,   532.542,   258.656,   599.436,     0.059,    48.400,     0.311,    18.748
2000-02-03,     0.288,     1.219,   853.603,     0.000,   575.022,   278.581,   627.614,     0.097,    49.600,     0.310,    18.679
2000-02-04,     0.300,     1.316,   922.116,     0.000,   620.925,   301.191,   656.281,     0.130,    50.800,     0.308,    18.568
2000-02-05,     0.313,     1.419,   995.256,     0.000,   669.189,   326.066,   684.702,     0.109,    52.000,     0.305,    18.421
2000-02-06,     0.326,     1.528,  1074.772,     0.000,   720.812,   353.960,   713.196,     0.061,    53.200,     0.303,    18.299
2000-02-07,     0.336,     1.646,  1161.559,     0.000,   776.275,   385.283,   741.912,     0.063,    54.400,     0.302,    18.232
2000-02-08,     0.346,     1.768,  1252.854,     0.000,   833.936,   418.918,   770.329,     0.075,    55.600,     0.302,    18.163
2000-02-09,     0.357,     1.899,  1352.254,     0.000,   895.899,   456.355,   799.196,     0.090,    56.800,     0.300,    18.082
2000-02-10,     0.369,     2.034,  1455.840,     0.000,   959.542,   496.298,   827.231,     0.111,    58.000,     0.299,    17.985
2000-02-11,     0.381,     2.173,  1564.293,     0.000,  1025.127,   539.167,   854.499,     0.103,    59.200,     0.298,    17.868
2000-02-12,     0.394,     2.318,  1679.399,     0.000,  1093.618,   585.781,   881.286,     0.110,    60.000,     0.296,    17.759
2000-02-13,     0.406,     2.467,  1799.399,     0.000,  1163.841,   635.558,   907.004,     0.117,    60.000,     0.294,    17.644
2000-02-14,     0.419,     2.622,  1926.138,     0.000,  1236.708,   689.430,   932.498,     0.133,    60.000,     0.292,    17.521
2000-02-15,     0.432,     2.781,  2059.205,     0.000,  1311.860,   747.345,   958.296,     0.163,    60.000,     0.290,    17.384
2000-02-16,     0.446,     2.943,  2196.556,     0.000,  1388.023,   808.533,   983.925,     0.147,    60.000,     0.287,    17.215
2000-02-17,     0.458,     3.103,  2335.903,     0.000,  1463.752,   872.151,  1008.850,     0.172,    60.000,     0.284,    17.063
2000-02-18,     0.471,     3.266,  2479.422,     0.000,  1540.332,   939.089,  1033.543,     0.196,    60.000,     0.281,    16.887
2000-02-19,     0.484,     3.434,  2631.515,     0.000,  1619.927,  1011.588,  1058.645,     0.158,    60.000,     0.278,    16.686
