## Site Characteristics
Country     = 'Netherlands'
Station     = 'Wageningen, Haarweg'
Description = 'Observed data from Station Haarweg in Wageningen'
Source      = 'Meteorology and Air Quality Group, Wageningen University'
Contact     = 'Peter Uithol'
Longitude = 5.67; Latitude = 51.97; Elevation = 7; AngstromA = 0.18; AngstromB = 0.55; HasSunshine = False
## Daily weather observations
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20040101,NaN,-0.7,1.1,0.55,3.6,0.5,NaN
20040102,3888,-7.5,0.9,0.44,3.1,0,NaN
20040103,2074,-6.8,-0.5,0.45,1.8,0,NaN
20040104,1814,-3.6,5.9,0.66,3.2,2.5,NaN
20040105,1469,3,5.7,0.78,2.3,1.3,NaN
20040106,259,4,9,0.92,4.1,4.4,NaN
20040107,950,2.7,8.1,0.93,2.5,0.1,NaN
20040108,1728,3.7,6.6,0.83,5.1,3.7,NaN
20040109,778,3.7,7.2,0.89,3.1,3.9,NaN
20040110,2333,2.4,8.2,0.85,2.7,0,NaN
20040111,691,4.3,11.9,1.06,5.7,11.3,NaN
20040112,864,4,6.4,0.83,4.1,4,NaN
20040113,1469,5,9.7,0.91,7.2,13.4,NaN
20040114,1210,1.4,6.7,0.79,4.9,11.1,NaN
20040115,2678,2.2,6.1,0.79,4.3,1.6,NaN
20040116,778,4.9,6.8,0.86,7.8,14.2,NaN
20040117,864,3.6,5.9,0.81,5.8,2.1,NaN
20040118,4320,-0.3,5,0.62,2.8,0,NaN
20040119,518,1.8,9,0.9,5.3,23,NaN
20040120,3370,-1.2,9.1,0.71,1.8,1.2,NaN
20040121,5098,0,3.4,0.53,1.7,0,NaN
20040122,864,0,3,0.55,3.3,0.1,NaN
20040123,3888,0.9,5.6,0.59,2.8,0,NaN
20040124,691,0.4,5.2,0.65,2.7,2.9,NaN
20040125,3456,-0.8,6.9,0.7,1.3,0,NaN
20040126,1642,-3.1,2.4,0.62,2,0,NaN
20040127,2765,-2.1,2.4,0.6,1.6,1.2,NaN
20040128,3197,-1.1,4.5,0.62,3.7,4.7,NaN
20040129,3370,-2.4,2.8,0.61,4.6,5,NaN
20040130,2765,0.3,3.9,0.59,5,0,NaN
20040131,605,1.9,11.6,0.9,8.2,10.1,NaN
20040201,4234,8.7,12.2,1.15,7.8,7.9,NaN
20040202,605,9.1,11.9,1.2,6.3,11.1,NaN
20040203,3110,9.5,15.1,1.2,5.2,0,NaN
20040204,1814,11.2,15.8,1.2,5.6,1,NaN
20040205,1210,10.8,15.1,1.31,5.7,7.9,NaN
20040206,1382,9.3,12.9,1.23,5.3,8,NaN
20040207,2246,3.8,10,0.87,8,9.2,NaN
20040208,4320,0.8,6,0.69,7,11.4,NaN
20040209,3888,0.5,5.2,0.67,3.6,0.8,NaN
20040210,2419,-0.2,8,0.71,4.5,10,NaN
20040211,1987,2.8,8.2,0.89,2.9,2.3,NaN
20040212,3197,1,6.7,0.79,1.4,0,NaN
20040213,2246,6.3,9.2,0.962,1.5,0,NaN
20040214,3283,5.2,9.2,0.91,1.7,0,NaN
20040215,3370,3.2,10.4,0.87,0.8,0,NaN
20040216,2419,-0.6,3.9,0.67,1.1,0,NaN
20040217,2851,1.4,6.4,0.77,1.8,0.3,NaN
20040218,5443,1.3,8.1,0.78,2.6,5.8,NaN
20040219,6394,-0.8,4.2,0.53,3.6,0,NaN
20040220,10195,-2.2,4.6,0.44,4.4,0,NaN
20040221,4061,-2.6,2.5,0.5,2.2,0,NaN
20040222,5789,-2.7,6.7,0.58,2.5,0,NaN
20040223,9504,-3.6,6.3,0.52,2,0.1,NaN
20040224,6134,-3,5.9,0.28,3.5,4.5,NaN
20040225,6912,-3.6,4.1,0.58,3.2,3.1,NaN
20040226,7258,-2.4,3.7,0.58,4.6,8.7,NaN
20040227,3456,-4.7,1,0.52,2.4,0,NaN
20040228,11059,-6.2,4.2,0.47,0.9,0,NaN
20040229,9158,-6.5,4.6,0.49,1.9,0,NaN
20040301,10109,-6,5.4,0.31,1.9,0,NaN
20040302,8208,-1.4,8.5,0.66,2.7,0,NaN
20040303,6221,-2,7.8,0.62,1.7,0,NaN
20040304,8122,0.6,10.6,0.58,3.8,0,NaN
20040305,6826,1.1,7.9,0.56,3.7,0.2,NaN
20040306,3802,-0.7,4.2,0.62,2,1.8,NaN
20040307,7171,-0.8,8.4,0.71,1.8,1.6,NaN
20040308,12182,-4.6,8,0.59,2.1,0,NaN
20040309,7430,-2.6,3.8,0.51,3.2,0,NaN
20040310,2333,0.1,2.4,0.62,2.5,0.3,NaN
20040311,9504,0.1,5.5,0.59,2.6,0,NaN
20040312,6912,0.4,6.7,0.65,3.9,1.1,NaN
20040313,4061,5.5,10.3,0.87,4.1,3.1,NaN
20040314,10627,3.9,13.4,0.84,5.6,0.1,NaN
20040315,3974,9.6,13.4,1.1,4.5,0.4,NaN
20040316,4320,9.2,15.8,1.31,3.2,0,NaN
20040317,13133,6.1,19.4,1.07,2.1,0,NaN
20040318,4752,2,14.7,1.12,2.7,1.7,NaN
20040319,5098,7.5,12.6,1.06,6.1,12.1,NaN
20040320,2246,6.7,13.1,1.14,8.5,7.8,NaN
20040321,9763,4.8,11.2,0.87,7.9,1.8,NaN
20040322,9504,2.1,9.9,0.8,4.4,9.6,NaN
20040323,12614,-0.2,10,0.72,1.3,0,NaN
20040324,6566,-1.9,7.8,0.68,1.5,0,NaN
20040325,13133,-2.5,9.3,0.53,1.4,0,NaN
