PCSE/WOFOST OUTPUT FILE FOR: 
crop name: Sugar beet 601, N-EC
year: 2000
mode: 'wlp'
--------------------------------------------------------------
SUMMARY RESULTS:
       Day of sowing: N/A
    Day of emergence: 2000-04-05
     Day of anthesis: 2000-06-09
     Day of maturity: N/A
      Day of harvest: N/A
         Maximum LAI:  5.12
       Total biomass: 22783.5
               Yield: 15872.5
       Harvest Index:   0.697
 Total transpiration:  32.047
--------------------------------------------------------------
TIME-SERIES RESULTS:
       day,       DVS,       LAI,      TAGP,      TWSO,      TWLV,      TWST,      TWRT,       TRA,        RD,        SM,     WWLOW
2000-01-01,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.104,    29.740
2000-01-02,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.142,    28.647
2000-01-03,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.169,    27.450
2000-01-04,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.177,    26.062
2000-01-05,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.174,    24.558
2000-01-06,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.174,    23.088
2000-01-07,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.173,    22.728
2000-01-08,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.181,    22.811
2000-01-09,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.179,    22.792
2000-01-10,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.179,    22.792
2000-01-11,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.179,    22.792
2000-01-12,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.190,    22.903
2000-01-13,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.188,    22.879
2000-01-14,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.186,    22.861
2000-01-15,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.186,    22.861
2000-01-16,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.186,    22.861
2000-01-17,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.270,    23.695
2000-01-18,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.273,    23.732
2000-01-19,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.276,    23.762
2000-01-20,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.273,    23.727
2000-01-21,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.272,    23.724
2000-01-22,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.272,    23.721
2000-01-23,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.284,    23.838
2000-01-24,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.284,    23.838
2000-01-25,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.284,    23.838
2000-01-26,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.284,    23.838
2000-01-27,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.284,    23.838
2000-01-28,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.283,    23.833
2000-01-29,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.365,    24.647
2000-01-30,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.410,    25.100
2000-01-31,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.328,    24.282
2000-02-01,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.329,    24.292
2000-02-02,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.300,    24.000
2000-02-03,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.364,    24.642
2000-02-04,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.316,    24.155
2000-02-05,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.376,    24.760
2000-02-06,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.300,    24.000
2000-02-07,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.342,    24.418
2000-02-08,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.328,    24.279
2000-02-09,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.300,    24.000
2000-02-10,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.298,    23.983
2000-02-11,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.297,    23.966
2000-02-12,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.296,    23.964
2000-02-13,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.296,    23.956
2000-02-14,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.294,    23.942
2000-02-15,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.308,    24.081
2000-02-16,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.302,    24.019
2000-02-17,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.362,    24.622
2000-02-18,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.300,    24.000
2000-02-19,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.324,    24.242
2000-02-20,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.300,    24.000
2000-02-21,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.300,    23.996
2000-02-22,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.301,    24.015
2000-02-23,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.299,    23.987
2000-02-24,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.298,    23.983
2000-02-25,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.410,    25.100
2000-02-26,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.356,    24.561
2000-02-27,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.319,    24.187
2000-02-28,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.300,    24.000
2000-02-29,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.410,    25.100
2000-03-01,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.410,    25.100
2000-03-02,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.300,    24.000
2000-03-03,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.365,    24.647
2000-03-04,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.410,    25.100
2000-03-05,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.300,    24.000
2000-03-06,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.318,    24.177
2000-03-07,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.300,    24.000
2000-03-08,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.410,    25.100
2000-03-09,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.410,    25.100
2000-03-10,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.410,    25.100
2000-03-11,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.378,    24.782
2000-03-12,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.300,    24.000
2000-03-13,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.297,    23.971
2000-03-14,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.294,    23.944
2000-03-15,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.367,    24.672
2000-03-16,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.300,    24.000
2000-03-17,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.298,    23.985
2000-03-18,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.297,    23.973
2000-03-19,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.293,    23.933
2000-03-20,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.306,    24.063
2000-03-21,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.296,    23.964
2000-03-22,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.296,    23.956
2000-03-23,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.293,    23.930
2000-03-24,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.294,    23.938
2000-03-25,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.354,    24.544
2000-03-26,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.300,    24.000
2000-03-27,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.339,    24.393
2000-03-28,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.302,    24.017
2000-03-29,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.299,    23.986
2000-03-30,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.297,    23.966
2000-03-31,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.295,    23.947
2000-04-01,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.294,    23.936
2000-04-02,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.294,    23.943
2000-04-03,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.324,    24.237
2000-04-04,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,       N/A,     0.313,    24.134
2000-04-05,     0.000,     0.001,     0.408,     0.000,     0.347,     0.061,     0.102,     0.000,    10.000,     0.310,    24.099
2000-04-06,     0.002,     0.001,     0.431,     0.000,     0.366,     0.065,     0.108,     0.000,    11.200,     0.303,    24.030
2000-04-07,     0.003,     0.001,     0.455,     0.000,     0.386,     0.068,     0.114,     0.000,    12.400,     0.297,    23.962
2000-04-08,     0.006,     0.001,     0.480,     0.000,     0.408,     0.072,     0.120,     0.000,    13.600,     0.296,    23.941
2000-04-09,     0.010,     0.001,     0.495,     0.000,     0.421,     0.074,     0.124,     0.000,    14.800,     0.320,    24.300
2000-04-10,     0.018,     0.001,     0.515,     0.000,     0.438,     0.077,     0.129,     0.000,    16.000,     0.299,    23.980
2000-04-11,     0.021,     0.001,     0.519,     0.000,     0.441,     0.078,     0.130,     0.000,    17.200,     0.298,    23.958
2000-04-12,     0.024,     0.001,     0.519,     0.000,     0.441,     0.078,     0.130,     0.000,    18.400,     0.297,    23.938
2000-04-13,     0.030,     0.001,     0.519,     0.000,     0.441,     0.078,     0.130,     0.000,    19.600,     0.315,    24.287
2000-04-14,     0.034,     0.001,     0.522,     0.000,     0.444,     0.079,     0.131,     0.000,    20.800,     0.305,    24.114
2000-04-15,     0.039,     0.001,     0.538,     0.000,     0.457,     0.081,     0.135,     0.000,    22.000,     0.299,    23.981
2000-04-16,     0.044,     0.001,     0.554,     0.000,     0.471,     0.084,     0.139,     0.000,    23.200,     0.303,    24.070
2000-04-17,     0.052,     0.001,     0.594,     0.000,     0.504,     0.090,     0.149,     0.000,    24.400,     0.298,    23.943
2000-04-18,     0.064,     0.001,     0.661,     0.000,     0.559,     0.102,     0.166,     0.000,    25.600,     0.310,    24.259
2000-04-19,     0.076,     0.001,     0.770,     0.000,     0.649,     0.120,     0.195,     0.000,    26.800,     0.297,    23.907
2000-04-20,     0.089,     0.001,     0.904,     0.000,     0.760,     0.144,     0.230,     0.000,    28.000,     0.296,    23.882
2000-04-21,     0.106,     0.002,     0.989,     0.000,     0.829,     0.159,     0.252,     0.000,    29.200,     0.295,    23.859
2000-04-22,     0.125,     0.002,     1.158,     0.000,     0.967,     0.191,     0.297,     0.000,    30.400,     0.299,    23.962
2000-04-23,     0.142,     0.002,     1.278,     0.000,     1.063,     0.214,     0.329,     0.000,    31.600,     0.322,    24.680
2000-04-24,     0.157,     0.002,     1.387,     0.000,     1.151,     0.236,     0.359,     0.000,    32.800,     0.321,    24.698
2000-04-25,     0.170,     0.003,     1.632,     0.000,     1.346,     0.286,     0.427,     0.000,    34.000,     0.313,    24.439
2000-04-26,     0.186,     0.003,     1.894,     0.000,     1.553,     0.341,     0.499,     0.001,    35.200,     0.304,    24.153
2000-04-27,     0.208,     0.003,     2.170,     0.000,     1.769,     0.401,     0.576,     0.001,    36.400,     0.299,    23.967
2000-04-28,     0.229,     0.004,     2.455,     0.000,     1.991,     0.464,     0.657,     0.001,    37.600,     0.319,    24.718
2000-04-29,     0.253,     0.005,     2.907,     0.000,     2.339,     0.568,     0.786,     0.001,    38.800,     0.302,    24.093
2000-04-30,     0.271,     0.005,     3.222,     0.000,     2.579,     0.643,     0.878,     0.001,    40.000,     0.307,    24.266
2000-05-01,     0.287,     0.006,     3.601,     0.000,     2.865,     0.736,     0.989,     0.001,    41.200,     0.303,    24.141
2000-05-02,     0.302,     0.006,     4.109,     0.000,     3.245,     0.863,     1.139,     0.001,    42.400,     0.300,    23.983
2000-05-03,     0.316,     0.007,     4.613,     0.000,     3.621,     0.992,     1.290,     0.001,    43.600,     0.299,    23.965
