PyWOFOST OUTPUT FILE FOR: 
grid_no: 31031
crop_no: 1
year: 2000
mode: 'pp'
--------------------------------------------------------------
SUMMARY RESULTS:
       Day of sowing: N/A
    Day of emergence: 2000-01-01
     Day of anthesis: 2000-03-28
     Day of maturity: 2000-05-31
      Day of harvest: N/A
         Maximum LAI:  6.23
       Total biomass: 18091.0
               Yield:  8729.4
       Harvest Index:   0.483
 Total transpiration:  26.975
--------------------------------------------------------------
TIME-SERIES RESULTS:
       day,       dvs,       lai,        rd,        sm,      tagp,       tra,      twlv,      twrt,      twso,      twst
2000-01-01,     0.000,     0.145,    10.000,     0.318,   105.000,     0.006,    68.250,   105.000,     0.000,    36.750
2000-01-02,     0.009,     0.154,    11.200,     0.318,   111.890,     0.003,    72.728,   111.890,     0.000,    39.161
2000-01-03,     0.017,     0.164,    12.400,     0.318,   119.031,     0.003,    77.370,   119.031,     0.000,    41.661
2000-01-04,     0.024,     0.174,    13.600,     0.318,   126.204,     0.006,    82.032,   126.204,     0.000,    44.171
2000-01-05,     0.033,     0.185,    14.800,     0.318,   134.276,     0.004,    87.280,   134.276,     0.000,    46.997
2000-01-06,     0.041,     0.197,    16.000,     0.318,   142.886,     0.008,    92.876,   142.886,     0.000,    50.010
2000-01-07,     0.050,     0.210,    17.200,     0.318,   152.516,     0.012,    99.136,   152.516,     0.000,    53.381
2000-01-08,     0.059,     0.225,    18.400,     0.318,   163.147,     0.006,   106.045,   163.147,     0.000,    57.101
2000-01-09,     0.068,     0.240,    19.600,     0.318,   174.315,     0.004,   113.305,   174.315,     0.000,    61.010
2000-01-10,     0.076,     0.255,    20.800,     0.318,   185.123,     0.012,   120.330,   185.124,     0.000,    64.793
2000-01-11,     0.085,     0.271,    22.000,     0.318,   196.682,     0.011,   127.844,   196.682,     0.000,    68.839
2000-01-12,     0.093,     0.287,    23.200,     0.318,   208.332,     0.014,   135.416,   208.332,     0.000,    72.916
2000-01-13,     0.102,     0.306,    24.400,     0.318,   221.715,     0.006,   144.115,   221.715,     0.000,    77.600
2000-01-14,     0.108,     0.321,    25.600,     0.318,   233.195,     0.015,   151.584,   233.115,     0.000,    81.612
2000-01-15,     0.116,     0.338,    26.800,     0.318,   245.215,     0.012,   159.430,   244.741,     0.000,    85.785
